CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
72119130200,307,23,0,522,545,852
72119130300,88,0,0,897,897,985
72119130401,341,0,0,886,886,1227
72119130402,933,0,0,920,920,1853
72119130500,83,19,0,1394,1413,1496
72119130601,659,0,0,746,746,1405
72119130602,1775,0,32,0,32,1807
72119130701,2379,0,0,0,0,2379
72119130703,1122,0,0,0,0,1122
72119130704,1230,7,0,389,396,1626
72121960300,1895,20,0,693,713,2608
72121960400,44,38,0,1341,1379,1423
72121960500,209,181,0,37,218,427
72121960600,126,15,0,656,671,797
72121960700,2152,0,0,0,0,2152
72121960800,1931,0,0,0,0,1931
72123952600,1526,0,0,0,0,1526
72123952700,1311,0,0,358,358,1669
72123952800,629,0,0,2184,2184,2813
72123952901,2000,0,0,0,0,2000
72123952902,321,24,0,1246,1270,1591
72123953000,131,44,0,772,816,947
72123953100,102,108,0,452,560,662
72123953200,1717,0,124,599,723,2440
72125840100,1877,0,0,12,12,1889
72125840200,2037,0,0,468,468,2505
72125840300,1291,0,0,861,861,2152
72125840400,207,50,0,1126,1176,1383
72125840500,520,5,0,885,890,1410
72125840600,1172,0,0,833,833,2005
72125840700,364,30,0,970,1000,1364
72127000400,133,5,0,0,5,138
72127000506,68,7,0,0,7,75
72127000600,147,28,0,0,28,175
72127000700,184,10,2,0,12,196
72127000900,122,144,0,0,144,266
72127001001,70,166,0,0,166,236
72127001002,36,146,0,0,146,182
72127001100,81,16,381,0,397,478
72127001200,167,6,434,0,440,607
72127001301,23,23,0,47,70,93
72127001302,19,21,12,109,142,161
72127001400,103,1,0,247,248,351
72127001500,193,51,0,240,291,484
72127001600,122,55,0,82,137,259
72127001800,154,1,0,243,244,398
72127001900,134,1,0,321,322,456
72127002002,127,0,0,113,113,240
72127002100,318,4,0,87,91,409
72127002200,204,0,0,106,106,310
72127002300,308,2,0,32,34,342
72127002400,235,20,0,127,147,382
72127002500,159,0,0,261,261,420
72127002600,292,0,0,454,454,746
72127002800,260,0,0,455,455,715
72127002900,146,0,0,283,283,429
72127003000,312,0,0,79,79,391
72127003100,485,0,0,151,151,636
72127003200,406,3,0,146,149,555
72127003300,297,6,0,83,89,386
72127003400,57,78,0,2,80,137
72127003501,237,178,0,97,275,512
72127003502,177,2,0,279,281,458
72127003600,308,0,0,82,82,390
72127003701,404,0,0,96,96,500
72127003702,405,0,0,193,193,598
72127003800,402,0,0,113,113,515
72127003902,288,14,0,294,308,596
72127004200,502,14,0,1,15,517
72127004306,94,0,0,0,0,94
72127004400,302,0,0,313,313,615
72127004500,232,0,0,325,325,557
72127004600,191,27,0,625,652,843
72127004700,611,868,0,201,1069,1680
72127004800,45,77,0,0,77,122
72127004900,96,71,0,350,421,517
72127005000,92,737,0,66,803,895
72127005101,14,22,0,544,566,580
72127005102,59,0,0,630,630,689
72127005103,126,64,0,466,530,656
72127005201,27,0,0,771,771,798
72127005202,45,0,0,755,755,800
72127005204,66,17,0,492,509,575
72127005214,43,57,0,431,488,531
72127005215,39,20,0,464,484,523
72127005300,22,0,0,739,739,761
72127005402,9,60,0,6,66,75
72127005403,69,20,0,831,851,920
72127005404,49,1,0,710,711,760
